2013/11/26 22:40:27 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2013/11/26 22:40:27 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2013/11/26 22:40:27 INFO  - jmeter.threads.JMeterThread: Thread started: User bid 1-1 
2013/11/26 22:40:27 INFO  - jmeter.threads.JMeterThread: Thread finished: User bid 1-1 
2013/11/26 22:40:27 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2013/11/26 22:40:27 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2013/11/26 22:40:53 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2013/11/26 22:40:53 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2013/11/26 22:40:53 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2013/11/26 22:40:53 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : User bid 
2013/11/26 22:40:53 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group User bid. 
2013/11/26 22:40:53 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2013/11/26 22:40:53 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2013/11/26 22:40:53 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2013/11/26 22:40:53 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2013/11/26 22:40:53 INFO  - jmeter.threads.JMeterThread: Thread started: User bid 1-1 
2013/11/26 22:40:54 INFO  - jmeter.threads.JMeterThread: Thread finished: User bid 1-1 
2013/11/26 22:40:54 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2013/11/26 22:40:54 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2013/11/26 22:41:40 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2013/11/26 22:41:40 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2013/11/26 22:41:40 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2013/11/26 22:41:40 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : User bid 
2013/11/26 22:41:40 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group User bid. 
2013/11/26 22:41:40 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
